step,arc,vx,dS_p10,dS_p50,ess_final,frac_unsafe,n_all_unsafe,unsafe_mean,unsafe_max,unsafe_final,sigma_S,sigma_S_bulk,w_max
122,4481.82,-12.4864,2.24612e+10,1.07094e+11,1,0.0468,0,23.4,120,74,8.07011e+10,3.27018e+10,1
123,4481.82,-12.6559,1.76876e+10,1.0067e+11,1,0.0433818,0,21.6909,121,13,7.64555e+10,3.11633e+10,1
124,4481.82,-12.8332,2.16203e+10,1.19564e+11,1,0.0519636,0,25.9818,177,58,8.51936e+10,3.68737e+10,1
125,4479.9,-12.9599,2.5965e+10,1.25963e+11,1,0.0546909,0,27.3455,160,63,8.46286e+10,3.71393e+10,1
126,4479.9,-13.0651,5.12294e+10,1.54335e+11,1,0.0657455,0,32.8727,157,78,9.42581e+10,4.31796e+10,1
127,4479.9,-13.2167,2.99281e+10,1.12998e+11,1,0.0519273,0,25.9636,103,60,8.39161e+10,3.3297e+10,1
128,4477.98,-13.3596,3.76131e+10,1.43995e+11,1,0.0632727,0,31.6364,187,187,8.6411e+10,4.00889e+10,1
129,4477.98,-13.5013,4.83466e+10,1.51318e+11,1,0.0673091,0,33.6545,135,135,8.52667e+10,4.127e+10,1
130,4477.98,-13.6826,6.23483e+10,1.69481e+11,1,0.0736727,0,36.8364,159,15,9.33301e+10,4.45083e+10,1
131,4476.06,-13.8617,7.97329e+10,1.96239e+11,1,0.0810909,0,40.5455,202,143,1.03718e+11,4.69843e+10,1
132,4476.06,-13.8561,7.26893e+10,1.84193e+11,1,0.0757091,0,37.8545,171,90,9.3276e+10,4.91276e+10,1
133,4476.06,-14.0254,8.56155e+10,1.9952e+11,1,0.0808727,0,40.4364,180,28,1.07039e+11,5.03308e+10,1
134,4474.14,-14.1808,9.88046e+10,2.42787e+11,1,0.0828364,0,41.4182,244,43,1.11705e+11,5.95955e+10,1
135,4474.14,-14.3403,6.20703e+10,1.81704e+11,1,0.0790545,0,39.5273,206,107,1.08171e+11,4.96289e+10,1
136,4474.14,-14.5205,1.20587e+11,2.52419e+11,1,0.0986545,0,49.3273,444,444,1.12144e+11,5.77915e+10,1
137,4472.23,-14.4557,9.54532e+10,2.30608e+11,1,0.0796364,0,39.8182,335,278,1.17506e+11,5.73429e+10,1
138,4472.23,-14.5633,7.45711e+10,1.94356e+11,1,0.0755636,0,37.7818,269,125,1.11571e+11,4.84246e+10,1
139,4470.31,-14.5121,1.06226e+11,2.29288e+11,1,0.0852727,0,42.6364,354,354,1.1437e+11,5.47313e+10,1
140,4470.31,-14.6922,5.91466e+10,1.61287e+11,1,0.0652727,0,32.6364,290,290,1.03969e+11,4.33779e+10,1
141,4470.31,-14.6163,4.30902e+10,1.40299e+11,1,0.0577455,0,28.8727,191,191,9.35185e+10,3.9221e+10,1
142,4468.39,-14.7704,3.84006e+10,1.29268e+11,1,0.0568,0,28.4,128,128,8.48184e+10,3.63786e+10,1
143,4468.39,-14.7413,4.08258e+10,1.24137e+11,1,0.0568364,0,28.4182,149,56,8.37255e+10,3.58874e+10,1
144,4466.47,-14.803,3.87481e+10,1.37242e+11,1,0.0597454,0,29.8727,170,170,8.46134e+10,3.95218e+10,1
145,4466.47,-14.9515,6.78557e+10,1.67048e+11,1,0.0718909,0,35.9455,266,185,9.00975e+10,4.35254e+10,1
146,4466.47,-15.0631,3.35713e+10,1.35448e+11,1,0.062,0,31,151,151,8.49503e+10,3.83673e+10,1
