step,arc,vx,accept_0,accept_1,accept_2,accept_mean,dS_p10_0,dS_p10_1,dS_p10_2,dS_p10_mean,dS_p50_0,dS_p50_1,dS_p50_2,dS_p50_mean,d_cost_0,d_cost_1,d_cost_2,d_cost_mean,ess_final,ess_post_0,ess_post_1,ess_post_2,ess_post_mean,ess_pre_0,ess_pre_1,ess_pre_2,ess_pre_mean,evolve_attract_ess_0,evolve_attract_ess_1,evolve_attract_ess_2,evolve_attract_ess_mean,sigma_S_0,sigma_S_1,sigma_S_2,sigma_S_mean,sigma_S_bulk_0,sigma_S_bulk_1,sigma_S_bulk_2,sigma_S_bulk_mean,unique_anc0,w_max
34,3.83073,-0.162367,0.602,0.582,0.542,0.575333,644.141,215.849,1687.21,849.065,1266.04,823.41,2.99836e+07,9.99522e+06,-427.176,-521210,-5.90112e+06,-2.14092e+06,41.6576,371.665,148.966,41.6576,187.43,13.6376,78.8913,4.78221,32.4371,83.8926,77.0907,23.5285,61.5039,1700.26,2.86424e+07,1.20054e+08,4.95659e+07,262.815,242.062,7.92471e+06,2.64174e+06,37,0.0677743
35,3.83073,-0.382297,0.678,0.542,0.46,0.56,522.234,170.769,69670.6,23454.5,1044.62,429.628,1.67185e+08,5.57288e+07,-464.826,-821847,-6.04127e+06,-2.28786e+06,4.08651,411.125,365.884,4.08651,260.365,32.6067,159.208,7.479,66.4311,86.1413,69.0094,9.24001,54.7969,1575.51,3.27067e+07,1.52868e+08,6.18587e+07,216.896,105.203,5.45081e+07,1.81695e+07,57,0.373691
36,3.83073,-0.571136,0.626,0.514,0.566,0.568667,468.246,137.297,1452.45,685.998,992.191,702.27,1707.37,1133.94,-419.97,-1.07158e+06,-2.6937e+06,-1.25523e+06,153.957,458.305,359.4,153.957,323.887,37.0218,121.765,8.96224,55.9163,86.7842,60.1799,56.2168,67.727,1616.92,5.00358e+07,1.47309e+08,6.57823e+07,221.776,178.745,309.795,236.772,44,0.0209551
37,3.83073,-0.775129,0.626,0.51,0.592,0.576,560.375,222.16,1735.87,839.469,1071.24,619.233,7.18084e+07,2.39367e+07,-429.727,-1.3328e+06,-6.78453e+06,-2.70592e+06,99.9023,362.54,439.011,99.9023,300.484,29.7196,104.707,7.01588,47.1475,84.7282,62.5671,26.5286,57.9413,1666.87,4.02253e+07,1.29628e+08,5.66184e+07,227.006,144.582,2.07432e+07,6.91452e+06,78,0.020169
38,3.83073,-0.971168,0.632,0.522,0.498,0.550667,355.367,203.885,2232.55,930.602,929.746,548.041,5.33045e+07,1.77687e+07,-426.944,-1.1321e+06,-4.61613e+06,-1.91622e+06,118.316,382.212,395.823,118.316,298.784,48.7388,128.169,13.6058,63.5045,85.3386,67.4223,36.0416,62.9342,1637.77,2.49519e+07,1.34572e+08,5.31752e+07,237.047,144.272,1.55362e+07,5.17887e+06,99,0.0167553
39,3.83073,-1.14947,0.654,0.506,0.536,0.565333,394.273,301.716,68.6885,254.893,945.465,580.508,1.66028e+07,5.53478e+06,-417.813,-1.60921e+06,-5.45261e+06,-2.35408e+06,146.578,444.053,429.671,146.578,340.101,48.3782,107.344,168.588,108.103,85.552,65.2609,41.4904,64.1011,1582.74,4.37035e+07,1.19426e+08,5.43771e+07,227.323,125.941,2.77534e+06,925232,77,0.0129706
40,3.83073,-1.33244,0.652,0.536,0.596,0.594667,457.766,355.979,2327.56,1047.1,1002.31,650.186,5.29505e+07,1.76507e+07,-403.061,-2.0387e+06,-6.60165e+06,-2.88025e+06,100.785,408.406,417.361,100.785,308.851,39.5038,93.4237,4.4654,45.7976,86.0872,68.734,29.8286,61.55,1650.11,3.90378e+07,1.21515e+08,5.35183e+07,216.334,120.951,1.34949e+07,4.49843e+06,94,0.0173213
41,3.83073,-1.51847,0.648,0.504,0.556,0.569333,632.68,404.284,1603.46,880.141,1216.66,707.73,3.91368e+07,1.30462e+07,-412.661,-1.60449e+06,-6.7487e+06,-2.78454e+06,78.0381,369.367,382.546,78.0381,276.65,13.4397,58.1202,5.98729,25.8491,85.0762,66.758,24.909,58.9144,1553.98,6.15171e+07,1.18268e+08,5.99288e+07,239.995,150.429,1.22503e+07,4.08357e+06,65,0.0253616
42,3.83073,-1.70233,0.642,0.492,0.546,0.56,509.422,435.227,43.1182,329.256,1059.38,1825.34,4.13339e+07,1.37789e+07,-388.398,-2.51985e+06,-6.35784e+06,-2.95936e+06,95.0379,400.258,375.727,95.0379,290.341,28.1927,53.2416,123.963,68.4659,86.2733,51.5702,26.3814,54.7416,1575.45,5.16452e+07,1.23669e+08,5.84384e+07,229.024,227.994,1.24445e+07,4.14832e+06,72,0.0198286
43,3.83073,-1.87673,0.622,0.51,0.54,0.557333,744.777,496.632,163.171,468.193,1408.84,778.992,9.69017e+07,3.23013e+07,-448.985,-1.60006e+06,-7.40464e+06,-3.00172e+06,62.1866,444.815,453.775,62.1866,320.259,11.024,38.3965,72.2339,40.5515,82.0587,75.8459,19.3645,59.0897,1478.37,4.62293e+07,1.1735e+08,5.4527e+07,285.051,145.984,3.1326e+07,1.04421e+07,39,0.0396965
44,3.83073,-2.04731,0.646,0.508,0.528,0.560667,560.352,440.518,1988.35,996.405,1055.81,1080.04,2.10689e+07,7.02369e+06,-455.242,-3.07219e+06,-5.40768e+06,-2.82677e+06,118.588,450.385,430.099,118.588,333.024,24.8562,37.3516,5.36843,22.5254,84.439,53.251,36.6863,58.1254,1549.22,7.6044e+07,1.18467e+08,6.48376e+07,220.855,213.951,6.67794e+06,2.22612e+06,68,0.0167465
45,3.83073,-2.23298,0.636,0.54,0.562,0.579333,662.32,696.9,93.0693,484.097,1219.16,2.21287e+06,3.16098e+07,1.12746e+07,-457.251,-3.54141e+06,-7.31566e+06,-3.61918e+06,50.2125,414.636,263.955,50.2125,242.935,14.2714,8.9938,84.7897,36.0183,85.1052,43.9366,20.5464,49.8628,1401.89,9.32539e+07,1.24749e+08,7.26681e+07,246.202,337025,1.06201e+07,3.65247e+06,40,0.0438262
46,3.83073,-2.41856,0.608,0.534,0.53,0.557333,616.605,452.181,70.1416,379.643,1170.84,1.65935e+06,1.72866e+07,6.31569e+06,-428.723,-5.79187e+06,-5.4399e+06,-3.74407e+06,129.7,473.738,459.624,129.7,354.354,19.1314,43.0353,141.074,67.7467,84.6903,45.134,35.1454,54.9899,1363.1,1.60961e+08,1.04488e+08,8.84834e+07,252.134,62964.8,4.80864e+06,1.62395e+06,49,0.014265
47,3.83073,-2.60162,0.652,0.544,0.634,0.61,510.812,417.037,238.808,388.886,1134.68,1196.59,6.95405e+07,2.3181e+07,-485.053,-4.98422e+06,-1.03105e+07,-5.09841e+06,56.7576,393.699,345.365,56.7576,265.274,26.9707,48.6495,67.734,47.7847,84.1153,46.4774,21.9299,50.8409,1444.85,9.51641e+07,1.14004e+08,6.97232e+07,260.293,198.935,2.27813e+07,7.59391e+06,52,0.0404891
48,3.83073,-2.78604,0.65,0.518,0.562,0.576667,513.699,409.323,53.5,325.507,1225.7,1.15759e+07,279.688,3.85914e+06,-494.101,-5.37141e+06,-4.28423e+06,-3.21871e+06,199.512,466.141,418.698,199.512,361.45,28.3046,35.0683,217.536,93.6364,81.713,21.7716,54.8755,52.7867,1451.14,1.18955e+08,1.13853e+08,7.76031e+07,302.459,3.70965e+06,75.9362,1.23668e+06,27,0.0092845
49,3.83073,-2.96157,0.606,0.554,0.52,0.56,481.848,764.616,50.957,432.474,1065.6,5.29302e+07,4.75537e+07,3.3495e+07,-429.565,-9.06394e+06,-6.39976e+06,-5.15471e+06,71.8503,430.797,215.014,71.8503,239.221,32.6454,6.72966,169.331,69.5688,84.8329,28.9498,40.7613,51.5147,1415.67,9.37558e+07,1.25147e+08,7.29682e+07,245.343,1.58136e+07,7.4993e+06,7.77106e+06,37,0.0431107
50,3.83073,-3.14384,0.62,0.486,0.572,0.559333,611.129,2431.88,201.645,1081.55,1177.52,4.01334e+07,1.24942e+06,1.37947e+07,-438.707,-6.4087e+06,-4.42384e+06,-3.61099e+06,154.203,384.628,429.733,154.203,322.855,19.9224,7.90433,127.979,51.9351,85.4199,32.7561,43.9166,54.0309,1329.42,1.28812e+08,8.34433e+07,7.07523e+07,247.594,1.03524e+07,165278,3.50598e+06,36,0.0108421
51,1.91467,-3.31816,0.622,0.544,0.664,0.61,428.457,1673.68,151.179,751.105,991.355,4.89452e+07,5.74159e+07,3.5454e+07,-438.113,-8.26895e+06,-1.25882e+07,-6.95252e+06,58.2613,441.125,457.792,58.2613,319.059,37.3923,2.78217,61.3539,33.8428,85.6559,24.5236,18.3893,42.8563,1353.92,1.44007e+08,9.0613e+07,7.82072e+07,230.131,1.10219e+07,1.55446e+07,8.85559e+06,49,0.0305463
52,1.91467,-3.48794,0.614,0.492,0.472,0.526,494.727,2467.44,473.329,1145.16,1109.88,9.91808e+06,2.48028e+07,1.1574e+07,-418.322,-5.41174e+06,-4.66502e+06,-3.35906e+06,117.401,465.302,251.788,117.401,278.164,32.8191,4.96669,34.2301,24.0053,84.2973,45.3661,39.8259,56.4964,1398.9,1.24067e+08,7.44579e+07,6.61753e+07,262.831,1.53088e+06,3.72582e+06,1.75232e+06,48,0.0245266
53,1.91467,-3.6573,0.632,0.572,0.548,0.584,678.91,884.395,63.5352,542.28,1316.84,1221.54,241.315,926.563,-17222.1,-6.07202e+06,-4.34688e+06,-3.47871e+06,230.089,388.063,458.75,230.089,358.967,12.1098,7.33996,244.806,88.0854,83.5606,50.9348,61.7874,65.4276,1200.59,9.66188e+07,1.22143e+08,7.29212e+07,273.144,208.642,65.0811,182.289,38,0.00892717
54,1.91467,-3.84541,0.624,0.532,0.522,0.559333,590.199,2028.23,109.892,909.441,1231.7,2509.99,349.382,1363.69,-445.195,-3.3103e+06,-4.97979e+06,-2.76351e+06,217.163,458.246,452.919,217.163,376.109,19.3929,24.4974,217.195,87.0283,81.9845,59.7432,55.4634,65.7304,1243.24,7.80005e+07,9.78988e+07,5.86335e+07,273.188,689.363,80.7897,347.78,44,0.00902169
